Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1995","1995","USD","98.1","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1996","1996","USD","120.3","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1997","1997","USD","135.9","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1998","1998","USD","143.7","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1999","1999","USD","147.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2001","2001","USD","164.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2002","2002","USD","191.4","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2003","2003","USD","170.3","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2004","2004","USD","145.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2005","2005","USD","167","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2006","2006","USD","187.2","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2007","2007","USD","174.6","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2008","2008","USD","283.8","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2009","2009","USD","120.8","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2010","2010","USD","142.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2011","2011","USD","143.6","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2012","2012","USD","151.9","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2013","2013","USD","159.6","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2003","2003","LCU","230120","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2004","2004","LCU","235990","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2005","2005","LCU","255160","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2006","2006","LCU","291028","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2007","2007","LCU","302908","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2010","2010","LCU","71440","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2011","2011","LCU","76240","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2012","2012","LCU","78180","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","689","Chillies and peppers, dry","2013","2013","LCU","79240","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2003","2003","SLC","230120","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2004","2004","SLC","235990","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2005","2005","SLC","255160","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2006","2006","SLC","291028","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2007","2007","SLC","302908","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2010","2010","SLC","71440","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2011","2011","SLC","76240","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2012","2012","SLC","78180","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","689","Chillies and peppers, dry","2013","2013","SLC","79240","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2003","2003","USD","1780.8","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2004","2004","USD","1775.9","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2005","2005","USD","1943.7","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2006","2006","USD","2262.1","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2007","2007","USD","2407.7","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2010","2010","USD","475.3","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2011","2011","USD","495.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2012","2012","USD","496.4","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","689","Chillies and peppers, dry","2013","2013","USD","503.7","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","1994","1994","LCU","35170","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","1995","1995","LCU","98400","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","1996","1996","LCU","139470","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","1997","1997","LCU","153700","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","1998","1998","LCU","118550","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","1999","1999","LCU","140740","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2001","2001","LCU","148970","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2002","2002","LCU","232520","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2003","2003","LCU","230120","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2004","2004","LCU","235990","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2005","2005","LCU","255160","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2006","2006","LCU","291028","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2007","2007","LCU","302908","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2008","2008","LCU","374320","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2010","2010","LCU","157060","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2011","2011","LCU","165030","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2012","2012","LCU","172340","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","401","Chillies and peppers, green","2013","2013","LCU","169340","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","1994","1994","SLC","35170","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","1995","1995","SLC","98400","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","1996","1996","SLC","139470","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","1997","1997","SLC","153700","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","1998","1998","SLC","118550","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","1999","1999","SLC","140740","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2001","2001","SLC","148970","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2002","2002","SLC","232520","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2003","2003","SLC","230120","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2004","2004","SLC","235990","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2005","2005","SLC","255160","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2006","2006","SLC","291028","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2007","2007","SLC","302908","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2008","2008","SLC","374320","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2010","2010","SLC","157060","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2011","2011","SLC","165030","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2012","2012","SLC","172340","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","401","Chillies and peppers, green","2013","2013","SLC","169340","","Official data"
